48492981.688502523,
48492981.671332659,
48492982.653504361,
48492982.636334247,
48492983.617605201,
48492983.600433980,
48492984.577647681,
48492984.560475298,
48492985.543712579,
48492985.526539564,
48492986.507724505,
48492986.490752546,
48492987.468890719,
48492987.451736955,
48492988.432976330,
48492988.415801938,
48492989.394035799,
48492989.376861285,
48492990.355999226,
48492990.338824461,
48492991.321256579,
48492991.304081509,
48492992.283241945,
48492992.266066547,
48492993.245290072,
48492993.228114460,
48492994.208321126,
48492994.191145214,
48492995.168345358,
48492995.151169245,
48492996.133493862,
48492996.116317869,
48492997.98696021,
48492997.81519392
